,sentence,label,split
1,van huy,0,train
2,end intern,0,train
3,education,0,train
4,vietnam korea university information communication,1,train
5,project school website sell bakery,0,train
6,technology html css bootstrap javascript laravel 5,1,train
7,achieve project,0,train
8,programming end website,0,train
9,successful customer purchase,0,train
10,project school website sell clothe,0,train
11,php,1,train
12,project school website sell cinema ticket,0,train
13,successful customer book ticket,0,train
14,huydo20071999@gmailcom,0,train
15,work experience,0,train
16,gender,0,train
17,date birth,0,train
18,july 20 1999,0,train
19,email,0,train
20,phone,0,train
21,address,0,train
22,dai loc quang nam,0,train
23,skill,0,train
24,html css php,1,train
25,framework laravel codeigniter,1,train
26,sort skill,0,train
27,attitude positive attitude sociable,0,train
28,database mysql sql server,1,train
29,technology git figma,1,test
30,nguyen thi bich thuan,0,train
31,contact information,0,train
32,educational,0,train
33,female,0,train
34,thuan59dt@gmailcom,0,train
35,dien ban quang nam,0,train
36,da nang college technology 2010 2013,1,test
37,major telecommunication electronic,0,train
38,classification good,0,train
39,professional programming course 05/2017 10/2017,0,train
40,major web design php mysql,1,test
41,https//wwwfacebookcom,0,train
42,phpid100005397106912,0,train
43,grant professional programmer training center iviettech,0,train
44,carrier objective,0,train
45,senior fullstack engineer tester,1,test
46,try learn possible,0,train
47,good order accomplish,0,train
48,task,0,train
49,certificate tester 04/2019 07/2019,0,train
50,major tester,0,train
51,grant study specialist,0,train
52,techinical skill,0,train
53,freelancer test automation 06/2019 07/2019,0,train
54,knowledge test software test,0,train
55,bank web survey https//livebankguru99com,0,train
56,life cycle software development life cycle,0,train
57,build automation framework scratch java selenium,1,test
58,test methodology functional test,0,train
59,write test script validation function search product sort,0,train
60,integration test system test,0,train
61,pagination dynamic,0,train
62,regression test blackbox test adhoc,0,train
63,test,1,test
64,ability write test case log bug,1,test
65,ecommerce web survey https//demonopcommercecom,0,train
66,knowledge database mysql sql,1,test
67,know basic php java programming,1,test
68,know selenium ide,1,test
69,know use tool jmeter performance,1,test
70,know basic security owasp 10,0,train
71,english read,1,test
72,independent work skill,0,train
73,listen music,0,train
74,read book,0,train
75,travel,0,train
76,freelancer test manual 07/2019 09/2019,0,train
77,internship test web education,1,test
78,english listen,1,test
79,work team,0,train
80,english speak,1,test
81,edit delete search,0,train
82,perform write test case login registration function admin add,0,train
83,hobby,0,train
84,perform write test case project include function search,0,train
85,log bug verify bug excel devazurercom,1,test
86,report error leader,0,train
87,company fpt softwate test manual 10/2019,0,train
88,project dell,0,train
89,export clone confine column,0,train
90,log bug verify bug jira,1,test
91,freelancer test manual 06/2020,0,train
92,test web utest online page,1,test
93,log bug report bug page web utest leader,0,train
94,trinh khac,0,train
95,hang,0,train
96,software engineer,0,train
97,da nang university education,1,test
98,digo medium stack developer,0,train
99,2016 present,0,train
100,build quiz app facebook instant game million user call,0,train
101,allthequiz,0,train
102,build quiz website 30000 traffic real time hqapps 2016,0,train
103,web development,1,test
104,html php javascript nodejs vuejs strapi flutter cocos studio,1,test
105,wordpress,1,test
106,datum management,0,train
107,mysql mongodb redi,1,test
108,web technology,1,test
109,awsec2 s3 cloudfront google cloudgae gce rest api docker,1,test
110,serverless,1,test
111,profile,0,train
112,dob 30031993,0,train
113,sex,0,train
114,contact,0,train
115,hungtrinhsp@gmailcom,0,train
116,github,0,train
117,githubcom,0,train
118,music,0,train
119,iot,0,train
120,diy,0,train
121,trip,0,train
122,video game,0,train
123,new technology,0,train
124,background information,0,train
125,restaurant management system console application,1,test
126,da nang university science technology,1,test
127,09/2018 present,0,train
128,major information technology,1,test
129,position c programming,1,train
130,design database,0,train
131,payment,0,train
132,code function add food drink menu order meal,0,train
133,tutor management system da nang desktop,1,train
134,application,0,train
135,position c net programming,1,train
136,design interface,0,train
137,hoang nguyen vu,0,train
138,intern,0,train
139,hoangnguyenvubk@gmailcom,0,train
140,850a ton duc thang lien chieu,0,train
141,da nang,0,train
142,facebookcom,0,train
143,career goal,0,train
144,code gui layer half bus layer threelayer model,0,train
145,hope work professional,0,train
146,programming environment,0,train
147,develop professional skill learn new,0,train
148,programming knowledge successfully,0,train
149,complete assign work,0,train
150,atm system simulation program bank multi,0,train
151,access web application,1,train
152,09/2020 present,0,train
153,position java jsp programming,1,train
154,design database interface,1,train
155,personal skill,0,train
156,code controller modelbo modelbean mvc model,0,train
157,c,1,train
158,c net,1,train
159,java jsp,1,train
160,work database microsoft sql mysql c java,1,train
161,c html little skill css javascript nodejs,1,train
162,learn,0,train
163,personal statement,0,train
164,highly motivate hardworking individual recent english graduate danang,0,train
165,university foreign study look open horizon sharpen,0,train
166,practical skill real world line work allow enhance test,0,train
167,learn basic skill software test concept,1,train
168,understand software test objective process method strategy,0,train
169,sep 2016 oct 2020,0,train
170,ubon ratchathani university thailand english,1,train
171,aspire fresher tester,0,train
172,hotel management,0,train
173,cultural communication,1,train
174,teamwork,1,train
175,problemsolve,1,train
176,html,1,test
177,powerpoint microsoft word certificate,1,test
178,participate compaign encourage protect environment,0,train
179,danang free walk tour organization volunteer,0,train
180,help holidaymaker discover cultural richness danang city,0,train
181,q c e n g n e e r,0,train
182,skill learn mywork experience,1,test
183,join project company namestash loyalty,1,test
184,project namestash loyalty platform provide solution corporation run campaign,0,train
185,deliver reward end monitor campaign performance start project,0,train
186,responsibility,0,train
187,work main qc stash project manual test web application,1,train
188,report manage bug bug track system,1,train
189,api test postman tool,1,train
190,layout test different browser device chrome mac safari android ios,1,train
191,8 month work main qc ofshahid project manual test include web,1,train
192,investigate requirement specification develop test case test plan different,0,train
193,test api config datum postman check layout site,1,train
194,join project company mbc development phase,1,train
195,project mbc development phase mbcnet act tv representation online mbc,1,train
196,repository service deliver right content right manage content distribution channel,0,train
197,1 year 5 month work main qc mbc project manual test,1,train
198,follow requirement story write test case office office native,0,train
199,zepplin tool compare test layout,1,train
200,report verify comment bug jira system,1,train
201,postman tool test api project,1,train
202,techical skill,1,train
203,manual test skill,1,train
204,api test postman,1,train
205,test tool inspection firebug cssviewer fontfinder pixelperfect,1,train
206,test management tool zephyr jira,1,train
207,work tool confluence slack skype,1,train
208,quality orient,0,train
209,good teamwork,1,train
210,good selfmanagement,1,train
211,quick adaptability new environment,0,train
212,major web development test associate degree issue da n ang college,1,train
213,technology passerellesnumerique certificate,1,train
214,testarchitect tool,1,train
215,apply tester position,1,train
216,longterm continue study improve knowledge professional experience ba,0,train
217,major software test,1,train
218,technical skill strength,1,train
219,knowledge software development life cycle test process,1,train
220,skill requirement analysis test design execute test write test,1,train
221,report,1,train
222,know apply test design technique blackbox technique whitebox,1,train
223,technique experiencebase technique design test case,1,train
224,know use management tool excel google sheet trello jira test link,1,train
225,knowledge basic automation test selenium selenium webdriver,1,train
226,good computer skill quickly adapt new software,1,train
227,knowledge information technology bit java c,1,train
228,knowledge ms office excel word power point,1,train
229,fpt software da nang,1,train
230,qc lap staff,1,train
231,tool,1,train
232,excel,1,train
233,jira,1,train
234,learn business system write test matrix,1,train
235,write sql query test database mysql,1,train
236,execute test log defect internal tool jira,1,train
237,report test result issue team leader,1,train
238,japanese project employee management system,1,train
239,write sql query test database oracle,1,train
240,learn business system write test case,1,train
241,gain experience skill,0,train
242,good knowledge software test basic methodology technique,1,train
243,good experience write test matrix test case base requirement,1,train
244,handson experience write sql query test database mysql oracle,1,train
245,n5,1,train
246,read write document spec guideline mail english,1,train
247,hardworking helpful careful calm reliable person,0,train
248,passion responsibility job give,0,train
249,solid collaboration facilitation negotiation,1,train
250,web intern,1,train
251,object orient programming,1,train
252,phone management,0,train
253,create function employ manage create,0,train
254,bachelor diplomain information technology,1,train
255,good quality,0,train
256,hope support,0,train
257,employee,0,train
258,company,0,train
259,presentation,1,train
260,css,1,train
261,java,1,train
262,communication,1,train
263,interested,0,train
264,play tennis,0,train
265,dance,0,train
266,reference,0,train
267,mr vo cong dinh,0,train
268,trainer,0,train
269,passerellesnummerique,0,train
270,activity,0,train
271,development activity blue sky treasurer collect fee group member,1,train
272,le duc luong,0,train
273,frontend developer,0,train
274,summary,0,train
275,4th year student department high,0,train
276,personal learn project,0,train
277,quality engineer training program vietnam,0,train
278,experience,0,train
279,major frontend developer love,0,train
280,experience gain apractical knowledge,1,train
281,industry intern position,0,train
282,luongdang1999@gmailcom,0,train
283,385 nguyen luong bang st,0,train
284,lien chieu dist da nang city,0,train
285,facebook,0,train
286,httpswwwfacebookcom,0,train
287,legal training program high,0,train
288,quality engineer,0,train
289,da nang university technology,1,train
