,U,K
0,0.9628845,0.037115525
1,0.07436298,0.92563707
2,0.9624949,0.037505116
3,0.96660876,0.033391204
4,0.96014726,0.03985269
5,0.95723855,0.042761445
6,0.95723855,0.042761445
7,0.95536816,0.044631813
8,0.95072716,0.04927284
9,0.93874013,0.061259907
10,0.9595532,0.040446732
11,0.9669759,0.033024088
12,0.9650405,0.034959503
13,0.9594875,0.040512558
14,0.9654916,0.034508463
15,0.09455773,0.9054423
16,0.95443016,0.04556978
17,0.96293396,0.03706602
18,0.96589214,0.034107886
19,0.18726456,0.81273544
20,0.95768595,0.042314
21,0.9572639,0.042736087
22,0.2808969,0.7191031
23,0.1537946,0.8462054
24,0.95885134,0.04114866
25,0.9653118,0.03468823
26,0.9637628,0.036237124
27,0.9676916,0.032308392
28,0.9629069,0.037093066
29,0.9634721,0.036527887
30,0.07347947,0.92652047
31,0.9567056,0.043294434
32,0.9681894,0.031810593
33,0.94342536,0.056574676
34,0.9653305,0.0346695
35,0.95026964,0.04973039
36,0.06392647,0.93607354
37,0.9630268,0.036973182
38,0.07770684,0.9222932
39,0.035230435,0.9647696
40,0.063349456,0.9366506
41,0.059690528,0.94030946
42,0.04154697,0.958453
43,0.9411906,0.05880937
44,0.23331374,0.76668626
45,0.08379462,0.9162054
46,0.9595969,0.04040315
47,0.024170106,0.97582996
48,0.92989016,0.07010987
49,0.02833523,0.9716647
50,0.96335065,0.036649387
51,0.9196692,0.08033086
52,0.9631499,0.03685011
53,0.90125203,0.09874791
54,0.4865347,0.5134653
55,0.87502015,0.12497984
56,0.88526684,0.1147332
57,0.07564415,0.92435586
58,0.95133454,0.04866549
59,0.077596605,0.92240345
60,0.057683874,0.94231606
61,0.036651246,0.96334875
62,0.94528604,0.054713964
63,0.77596104,0.22403902
64,0.81126034,0.18873964
65,0.030341137,0.96965885
66,0.08198808,0.91801196
67,0.08347617,0.9165238
68,0.02629584,0.9737041
69,0.11650643,0.88349354
70,0.9642576,0.035742376
71,0.3944308,0.6055692
72,0.9482053,0.051794708
73,0.9485724,0.05142763
74,0.9627577,0.037242327
75,0.17882916,0.8211708
76,0.07759663,0.92240334
77,0.057683915,0.94231606
78,0.94528604,0.05471399
79,0.7759609,0.22403903
80,0.9308155,0.069184534
81,0.07339156,0.9266084
82,0.029701572,0.9702984
83,0.95294565,0.04705436
84,0.9612193,0.038780652
85,0.08390531,0.9160947
86,0.9564271,0.04357283
87,0.9637232,0.036276776
88,0.95725334,0.0427467
